Authors;Title;Year;Volume;Issue;Start Page;End Page;Abstract;DOI;Author Keywords;Publication Title;Link;Database;Title_lower
Niina Hynninen;The Language of Interaction in English as a Lingua Franca;2024;Desconocido;Desconocido;Desconocido;Desconocido;Interaction in English as a lingua franca (ELF) has become a commonplace phenomenon. This article revisits research on ELF to discuss what it means for speakers to operate in different types of ELF interactions and how ELF use is impacting on the forms of English. Findings suggest, for instance, the importance of accommodation and enhanced explicitness in spoken ELF interaction as means to increase the effectiveness of communication. Despite the variability of ELF, there is also evidence for renewed preference patterns in ELF use, and even some indication of ELF impact on functional varieties of English.;https://doi.org/10.1016/B978-0-323-95504-1.00290-8;"Accommodation; ELF; English as a lingua franca; Explicitness; Interaction; Language contact; Misunderstanding; Similect; Transient; Variation";Reference Module in Social Sciences;https://www.sciencedirect.com/science/article/pii/B9780323955041002908;ScienceDirect;the language of interaction in english as a lingua franca
Chris Palmer;Unprecedented Collaboration Plots Largest, Most Detailed Maps of the Brain;2024;39;Desconocido;7;9;Desconocido;https://doi.org/10.1016/j.eng.2024.07.004;Desconocido;Engineering;https://www.sciencedirect.com/science/article/pii/S2095809924003928;ScienceDirect;unprecedented collaboration plots largest, most detailed maps of the brain
Guanhong Yao and WuJi Zhang and Yingxi Zhu and Ut-kei Wong and Yanfeng Zhang and Cui Yang and Guanghao Shen and Zhanguo Li and Hui Gao;Comparing the accuracy of large language models and prompt engineering in diagnosing realworld cases;2025;203;Desconocido;106026;Desconocido;"Importance
Large language models (LLMs) hold potential in clinical decision-making, especially for complex and rare disease diagnoses. However, real-world applications require further evaluation for accuracy and utility.
Objective
To evaluate the diagnostic performance of four LLMs (GPT-4o mini, GPT-4o, ERNIE, and Llama-3) using real-world inpatient medical records and assess the impact of different prompt engineering methods.
Method
This single-center, retrospective study was conducted at Peking University International Hospital. It involved 1,122 medical records categorized into common rheumatic autoimmune diseases, rare rheumatic autoimmune diseases, and non-rheumatic diseases. Four LLMs were evaluated using two prompt engineering methods: few-shot and chain-of-thought prompting. Diagnostic accuracy (hit1) was defined as the inclusion of the first final diagnosis from the medical record in the model’s top prediction.
Results
Hit1 of four LLMs were as follows: GPT-4omini (81.8 %), GPT-4o (82.4 %), ERNIE (82.9 %) and Llama-3 (82.7 %). Few-shot prompting significantly improved GPT-4o’s hit1 (85.9 %) compared to its base model (p = 0.02), outperforming other models (all p < 0.05). Chain-of-thought prompting showed no significant improvement. Hit1 for both common and rare rheumatic diseases was consistently higher than that for non-rheumatic disease. Few-shot prompting increased costs per correct diagnosis for GPT-4o by approximately ¥4.54.
Conclusions
LLMs, including GPT-4o, demonstrate promising diagnostic accuracy on real medical records. Few-shot prompting enhances performance but at higher costs, underscoring the need for accuracy improvements and cost management. These findings inform LLM development in Chinese medical contexts and highlight the necessity for further multi-center validation.";https://doi.org/10.1016/j.ijmedinf.2025.106026;"Large Language Models; LLMs; Prompt Engineering; Accuracy; Rheumatic Disease; Realworld";International Journal of Medical Informatics;https://www.sciencedirect.com/science/article/pii/S1386505625002436;ScienceDirect;comparing the accuracy of large language models and prompt engineering in diagnosing realworld cases
K.P. Karthik and Arun Kumar Mahapatra and Prashant Kumar Gupta and S. Rajagopala;Proposed clinical algorithm for hematinic bhasmas selection for Ayurvedic pediatric care;2024;15;6;100972;Desconocido;Ayurveda has unique and relevant methods in nosology, symptomatology, and drug selection. These methods need a novel and effective way of presentation for convenient comprehension and implementation. ‘Clinical algorithms’ is one such way, wherein a large amount of data is simplified, conceptual intricacies abstracted, and clinical application made easier. This article uses a modified version of the Horabin and Lewis algorithm to construct a clinical algorithm for Bhasma selection in the management of Pandu (anemia). The textual descriptions regarding the pathology and clinical presentations of Pandu have been compiled, and broadly classified, and the Bhasmas indication in suit each set of disease presentation has been specified. The algorithm is validated and optimized at single centre, while multicentre implementations and post-hoc modifications are warranted.;https://doi.org/10.1016/j.jaim.2024.100972;"Hematinics; Ayurveda; Bhasmas";Journal of Ayurveda and Integrative Medicine;https://www.sciencedirect.com/science/article/pii/S0975947624000871;ScienceDirect;proposed clinical algorithm for hematinic bhasmas selection for ayurvedic pediatric care
Jared Reid and Matthew McCrosson and Jacqueline Tobin and Gabriella Rivas and Stacey Rothwell and Langdon Hartsock and Kristoff Reid;Opportunistic CT screening demonstrates increased risk for peri-articular fractures in osteoporotic patients;2024;110;8;103935;Desconocido;"Background
Underdiagnosis or undertreatment of osteoporosis consequently impacts individual morbidity and mortality, as well as on healthcare systems and communities as a whole. Dual-energy x-ray absorptiometry (DXA) is the gold standard method for identifying osteoporosis, however, opportunistic CT screening is capable of precisely estimating bone mineral density (BMD) in abdominopelvic imaging with no additional cost, radiation exposure or inconvenience to patients. This study uses opportunistic CT screening to determine the prevalence of osteoporosis and anatomic distribution patterns in patients presenting with lower extremity fractures at our institution.
Hypothesis
Trauma patients with low bone mineral density (BMD) are more likely to present with peri-articular versus shaft fractures.
Patients and methods
We conducted a retrospective review of 721 patients presenting as trauma activations to the emergency department (ED) of a Level 1 Trauma Center with lower extremity fractures. Patients were excluded if under the age of 18 or lacking a CT scan upon arrival in the ED. Hounsfield Units (HU) were measured at the L1 vertebral level on CT scans to determine bone mineral density. Values of ≤100 HU were consistent with osteoporosis, whereas 101–150 HU were consistent with osteopenia.
Results
The final cohort included 416 patients, with mean age of 49 ± 21 years. Average bone density was 203.9 ± 73.4 HU. 15.9% of patients were diagnosed as osteopenic and 9.9% as osteoporotic. 64.2% of fractures were peri-articular, 25.7% were shaft, and 10.1% were a combination. Peri-articular fractures were significantly more likely to have lower average BMD than shaft fractures (189 ± 74.7 HU vs. 230.6 ± 66.1 HU, p < 0.001).
Discussion
Our study demonstrates a significant relationship between low bone mineral density and lower extremity fracture pattern, however, likely influenced by other factors such as sex. Opportunistic CT screening for osteoporosis in trauma settings provides ample opportunity for early detection of low BMD and implementation of highly effective lifestyle modification and pharmacotherapy intervention. Reduction in the overall incidence of peri-articular fracture with widespread adoption of opportunistic CT screening may lessen the morbidity, mortality, and total cost currently afflicting patients, healthcare systems, and communities.
Level of evidence
III, therapeutic";https://doi.org/10.1016/j.otsr.2024.103935;"Osteoporosis; Opportunistic CT scan; Peri-articular fracture; Fragility fracture";Orthopaedics & Traumatology: Surgery & Research;https://www.sciencedirect.com/science/article/pii/S1877056824001919;ScienceDirect;opportunistic ct screening demonstrates increased risk for peri-articular fractures in osteoporotic patients
DU Qing;Quantitative determination of coptisine and berberine hydrochloride in Corydalis conspersa by high-performance liquid chromatography and quality evaluation;2025;Desconocido;Desconocido;100620;Desconocido;The key active ingredients of Chinese medicinal materials are often used as indicators in quality standards. Corydalis conspersa is a characteristic plant from the Qinghai-Tibet plateau and contains various of isoquinoline alkaloids. Water content was determinated from diverse parts of Corydalis conspersa according to the Chinese Pharmacopoeia. The component of coptisine and berberine hydrochloride in Corydalis conspersa were extracted using the solvent of methanol-hydrochloric acid and detected by High-Performance Liquid Chromatography. The results of method validation test was stable and reliable. The content of coptisine and berberine hydrochloride in root samples was higher than in herbs. In the sample solutions of stem and leaf, only coptisine was detectable. Thus, the levels of coptisine and berberine hydrochloride in root and herbs can serve as a qualified basis for quality standards of Corydalis conspersa.;https://doi.org/10.1016/j.cjac.2025.100620;"Corydalis conspersa; coptisine; berberine hydrochloride; diverse parts; content comparison";Chinese Journal of Analytical Chemistry;https://www.sciencedirect.com/science/article/pii/S187220402500129X;ScienceDirect;quantitative determination of coptisine and berberine hydrochloride in corydalis conspersa by high-performance liquid chromatography and quality evaluation
Robert Birch and Jordan Miller and Jeffrey Surina and Gregory Daubs and Aaron Gray and Karen E. Nelson and Brock Wentz and Erik N. Kubiak;Rate of skin and nerve complications as a result of cutaneous traction with modern foam boots;2024;55;8;111687;Desconocido;"Introduction
Cutaneous traction is used to temporize lower extremity fractures and relies on friction between the skin and surrounding material to apply a longitudinal force. This circumferential compressive force can lead to pressure sores, skin sloughing, or compressive neuropathies. These complications have been reported in up to 11% of patients when the cutaneous traction relies on adhesive tapes, plaster, and rubber bandages being in immediate contact with the skin. The rates of these complications are not well documented when using modern foam boots.
Methods
A retrospective chart review was performed on all orthopedic trauma patients who suffered pelvic or lower extremity injuries between March 1st, 2020 and April 30th, 2021 at a single Level-1 trauma center. We included all patients with femoral fractures, axially unstable pelvic ring and/or acetabular fractures, and unstable hip dislocations temporized with the use of cutaneous traction. All patients had intact skin and lower extremity nerve function prior to application.
Results
There were 138 patients identified with 141 lower extremities. The average patient age was 50.7 (6–100) years. Mean traction weight of 9.8 (5–20) pounds. Average traction duration was 20.9 (2.3–243.5) hours. At the time of traction removal, there was 1 (0.7%) new skin wound and 0 nerve palsies. The new skin wound was a stage one heel pressure sore and did not require further treatment.
Conclusion
Cutaneous traction with a modern foam boot was found to have a skin complication rate of 0.7% and a nerve palsy complication rate of 0% for an overall complication rate of 0.7%, which has not been previously established and is lower than historically reported complication rates of 11% when utilizing adhesive and plaster directly on skin. Foam boot Cutaneous traction may be considered a safe option for traction placement.";https://doi.org/10.1016/j.injury.2024.111687;"Traction; Cutaneous traction; Skin traction; Skeletal traction; Buck traction";Injury;https://www.sciencedirect.com/science/article/pii/S0020138324003930;ScienceDirect;rate of skin and nerve complications as a result of cutaneous traction with modern foam boots
Matthew Quinn and John D. Milner and Phillip Schmitt and Patrick Morrissey and Nicholas Lemme and Stephen Marcaccio and Steven DeFroda and Ramin Tabaddor and Brett D. Owens;Artificial Intelligence Large Language Models Address Anterior Cruciate Ligament Reconstruction: Superior Clarity and Completeness by Gemini Compared With ChatGPT-4 in Response to American Academy of Orthopaedic Surgeons Clinical Practice Guidelines;2025;41;6;2002;2008;"Purpose
To assess the ability of ChatGPT-4 and Gemini to generate accurate and relevant responses to the 2022 American Academy of Orthopaedic Surgeons (AAOS) Clinical Practice Guidelines (CPG) for anterior cruciate ligament reconstruction (ACLR).
Methods
Responses from ChatGPT-4 and Gemini to prompts derived from all 15 AAOS guidelines were evaluated by 7 fellowship-trained orthopaedic sports medicine surgeons using a structured questionnaire assessing 5 key characteristics on a scale from 1 to 5. The prompts were categorized into 3 areas: diagnosis and preoperative management, surgical timing and technique, and rehabilitation and prevention. Statistical analysis included mean scoring, standard deviation, and 2-sided t tests to compare the performance between the 2 large language models (LLMs). Scores were then evaluated for inter-rater reliability (IRR).
Results
Overall, both LLMs performed well with mean scores >4 for the 5 key characteristics. Gemini demonstrated superior performance in overall clarity (4.848 ± 0.36 vs 4.743 ± 0.481, P = .034), but all other characteristics demonstrated nonsignificant differences (P > .05). Gemini also demonstrated superior clarity in the surgical timing and technique (P = .038) as well as the prevention and rehabilitation (P = .044) subcategories. Additionally, Gemini had superior performance completeness scores in the rehabilitation and prevention subcategory (P = .044), but no statistically significant differences were found amongst the other subcategories. The overall IRR was found to be 0.71 (moderate).
Conclusions
Both Gemini and ChatGPT-4 demonstrate an overall good ability to generate accurate and relevant responses to question prompts based on the 2022 AAOS CPG for ACLR. However, Gemini demonstrated superior clarity in multiple domains in addition to superior completeness for questions pertaining to rehabilitation and prevention.
Clinical Relevance
The current study addresses a current gap in the LLM and ACLR literature by comparing the performance of ChatGPT-4 to Gemini, which is growing in popularity with more than 300 million individual uses in May 2024 alone. Moreover, the results demonstrated superior performance of Gemini in both clarity and completeness, which are critical elements of a tool being used by patients for educational purposes. Additionally, the current study uses question prompts based on the AAOS CPG, which may be used as a method of standardization for future investigations on performance of LLM platforms. Thus, the results of this study may be of interest to both the readership of Arthroscopy and patients.";https://doi.org/10.1016/j.arthro.2024.09.020;Desconocido;Arthroscopy: The Journal of Arthroscopic & Related Surgery;https://www.sciencedirect.com/science/article/pii/S0749806324007369;ScienceDirect;artificial intelligence large language models address anterior cruciate ligament reconstruction: superior clarity and completeness by gemini compared with chatgpt-4 in response to american academy of orthopaedic surgeons clinical practice guidelines
Zhilong Cai and Shuoyu Rui and Jianhua Chen and Nanqu Huang and Yong Luo and Fei Feng;Association between diabetes status and falls: a 9-year prospective cohort study using the China health and retirement longitudinal study;2025;19-20;Desconocido;100282;Desconocido;"Background
Falls represent a significant health burden among individuals with diabetes, yet the long-term relationship between diabetes status and fall risk remains inadequately characterized in Asian populations. This study aimed to investigate the association between diabetes status and incident falls among Chinese middle-aged and older adults using nationally representative longitudinal data.
Methods
Utilizing China Health and Retirement Longitudinal Study (CHARLS) 2011–2020 data, we included 9553 participants (aged ≥45 years) for a 9-year prospective cohort study. Diabetes was classified as normal glucose metabolism, prediabetes, or diabetes based on self-reported diagnosis, fasting plasma glucose (FPG), or HbA1c levels. Incident falls were assessed via self-reports across four survey waves from 2011 to 2020. Multivariable logistic regression models were to evaluate the independent association between diabetes and falls and subgroup/sensitivity analyses were conducted.
Results
The study included 7131 (74.6 %) participants with normal glucose levels, 1254 (13.1 %) with prediabetes, and 1168 (12.2 %) with diabetes. Mean age was 58.1 ± 9.0 years, with 46.9 % males. Fall incidence rates were significantly higher in the diabetes group (55.1 %) compared to prediabetes (48.3 %) and normal glucose groups (47.3 %) (P < 0.001). After full adjustment for potential confounders, diabetes was associated with a 27 % increased risk of incident falls (OR=1.27, 95 % CI: 1.11–1.45, P < 0.001), while prediabetes showed no significant association (OR=0.99, 95 % CI: 0.87–1.12, P = 0.817). Subgroup analyses revealed stronger associations in older adults aged ≥60 years (OR=1.45, 95 % CI: 1.18–1.78) compared to those <60 years (OR=1.17, 95 % CI: 0.98–1.39), with similar effects in both sexes. Sensitivity analyses confirmed the robustness of these findings.
Conclusions
Diabetes significantly increases the risk of incident falls among Chinese middle-aged and older adults, with a 27 % higher risk persisting after comprehensive adjustment. This association appears to be specific to established diabetes rather than prediabetes, suggesting a pathophysiological threshold effect. The findings support the integration of fall prevention strategies into routine diabetes care, particularly for older adults, and have important implications for clinical practice guidelines and public health policy in China's rapidly aging population.";https://doi.org/10.1016/j.deman.2025.100282;"Diabetes; Falls; Aging; Cohort study; CHARLS";Diabetes Epidemiology and Management;https://www.sciencedirect.com/science/article/pii/S2666970625000307;ScienceDirect;association between diabetes status and falls: a 9-year prospective cohort study using the china health and retirement longitudinal study
Grigorii Khvatskii and Yong Suk Lee and Corey Angst and Maria Gibbs and Robert Landers and Nitesh V. Chawla;Do multimodal large language models understand welding?;2025;120;Desconocido;103121;Desconocido;This paper examines the performance of Multimodal LLMs (MLLMs) in skilled production work, with a focus on welding. Using a novel data set of real-world and online weld images, annotated by a domain expert, we evaluate the performance of two state-of-the-art MLLMs in assessing weld acceptability across three contexts: RV & Marine, Aeronautical, and Farming. While both models perform better on online images, likely due to prior exposure or memorization, they also perform relatively well on unseen, real-world weld images. Additionally, we introduce WeldPrompt, a prompting strategy that combines Chain-of-Thought generation with in-context learning to mitigate hallucinations and improve reasoning. WeldPrompt improves model recall in certain contexts but exhibits inconsistent performance across others. These results underscore the limitations and potentials of MLLMs in high-stakes technical domains and highlight the importance of fine-tuning, domain-specific data, and more sophisticated prompting strategies to improve model reliability. The study opens avenues for further research into multimodal learning in industry applications.;https://doi.org/10.1016/j.inffus.2025.103121;"AI in manufacturing; Multimodal Large Language Models (MLLMs); Welding; Skilled production work; Real-world image classification; WeldPrompt";Information Fusion;https://www.sciencedirect.com/science/article/pii/S1566253525001940;ScienceDirect;do multimodal large language models understand welding?
Andrea Dell’Olio and Franco Biasioli and Vincenzo Fogliano and Josep Rubert;Decoding microbial volatile signals in host–microbiome crosstalk;2025;Desconocido;Desconocido;Desconocido;Desconocido;The human gut microbiome is a complex microbial ecosystem which has a profound impact on host health and disease. The research focus in this area is rapidly moving from taxonomy to functionality, elucidating the biological role of small molecules produced by the gut microbiome in regulating host metabolism. Among these, microbial volatile organic compounds (mVOCs) play several roles in bacterial communication and microbe–host signaling. Volatilomics, the comprehensive study of volatile metabolites, is emerging as a powerful tool for discovering and investigating these interactions. In this review we examine the current understanding of mVOCs in the gut and highlight how dedicated in vitro and ex vivo volatilomics experiments, alongside in vivo studies, can uncover the biological roles for these emerging small molecules.;https://doi.org/10.1016/j.tem.2025.08.004;"microbial volatile organic compounds (mVOCs); volatilomics; intestinal health; host–microbe communication";Trends in Endocrinology & Metabolism;https://www.sciencedirect.com/science/article/pii/S1043276025001730;ScienceDirect;decoding microbial volatile signals in host–microbiome crosstalk
Tianlong Shan and Fan Zhang and Albert P.C. Chan and Shiyao Zhu and Kaijian Li;Large language Models-empowered automatic knowledge graph development based on multi-modal data for building health resilience;2025;68;Desconocido;103655;Desconocido;Improving the health resilience of building (BHR) helps keep stable health status of both the building and its occupants under disasters. As BHR is an emerging concept, there is no structured knowledge graph to understand the whole process of BHR under disasters. Therefore, this study aims to build a structured BHR knowledge graph based on multi-modal data, providing sufficient structured knowledge for BHR enhancement. An automated knowledge graph construction approach is proposed to empower the ontology design and triple extraction by large language models (LLMs), and validation processes based on In-context Learning (ICL) prompts. A case study is conducted to construct the knowledge graph of BHR under rainstorms in Hong Kong. The performance of the proposed LLMs-empowered knowledge extraction is also validated based on natural language processing metrics and LLMs-based Evaluation (LLMs-Eval). BHR knowledge graph indicates the potential relations between disasters, factors, response actions, and the health status of the building and occupants, and provides insight to guide the BHR enhancement. The superiority of the proposed LLMs-empowered automated knowledge graph construction approach is proven, implying LLMs have great potential in knowledge graph construction, not only for BHR but also for other concepts that require structured knowledge for further explorations and analyses.;https://doi.org/10.1016/j.aei.2025.103655;"Building health resilience; Knowledge graph; Large language models; Multi-modal data; Rainstorm";Advanced Engineering Informatics;https://www.sciencedirect.com/science/article/pii/S1474034625005488;ScienceDirect;large language models-empowered automatic knowledge graph development based on multi-modal data for building health resilience
Wei Dai and Yi-Shan Tsai and Jionghao Lin and Ahmad Aldino and Hua Jin and Tongguang Li and Dragan Gašević and Guanliang Chen;Assessing the proficiency of large language models in automatic feedback generation: An evaluation study;2024;7;Desconocido;100299;Desconocido;Assessment feedback is important to student learning. Learning analytics (LA) powered by artificial intelligence exhibits profound potential in helping instructors with the laborious provision of feedback. Inspired by the recent advancements made by Generative Pre-trained Transformer (GPT) models, we conducted a study to examine the extent to which GPT models hold the potential to advance the existing knowledge of LA-supported feedback systems towards improving the efficiency of feedback provision. Therefore, our study explored the ability of two versions of GPT models – i.e., GPT-3.5 (ChatGPT) and GPT-4 – to generate assessment feedback on students' writing assessment tasks, common in higher education, with open-ended topics for a data science-related course. We compared the feedback generated by GPT models (namely GPT-3.5 and GPT-4) with the feedback provided by human instructors in terms of readability, effectiveness (content containing effective feedback components), and reliability (correct assessment on student performance). Results showed that (1) both GPT-3.5 and GPT-4 were able to generate more readable feedback with greater consistency than human instructors, (2) GPT-4 outperformed GPT-3.5 and human instructors in providing feedback containing information about effective feedback dimensions, including feeding-up, feeding-forward, process level, and self-regulation level, and (3) GPT-4 demonstrated higher reliability of feedback compared to GPT-3.5. Based on our findings, we discussed the potential opportunities and challenges of utilising GPT models in assessment feedback generation.;https://doi.org/10.1016/j.caeai.2024.100299;"Assessment feedback; Learning analytics; Feedback generation; Generative pre-trained transformer; Feedback effectiveness; Automated feedback system";Computers and Education: Artificial Intelligence;https://www.sciencedirect.com/science/article/pii/S2666920X24001024;ScienceDirect;assessing the proficiency of large language models in automatic feedback generation: an evaluation study
Heiner Fangerau;Artifical intelligence in surgery: ethical considerations in the light of social trends in the perception of health and medicine;2024;9;5;323;328;The use of artificial intelligence (AI) in medicine and surgery is currently predicted to be very promising.However, AI has the potential to change the doctor’s role and the doctor–patient relationship. It has the potential to support people’s desires for health, along with the potential to nudge or push people to behave in a certain way.To understand these potentials, we must see AI in the light of social developments that have brought about changes in how medicine’s role, in a given society, is understood.The trends of ‘privatisation of medicine’ and ‘public-healthisation of the private’ are proposed as a contextual backdrop to explain why AI raises ethical concerns different from those previously caused by new medical technologies, and which therefore need to be addressed specifically for AI.;https://doi.org/10.1530/EOR-24-0029;"artificial intelligence; surgery; ethics; social developments; medical concepts; privatisation; public health; history; future";EFORT Open Reviews;https://www.sciencedirect.com/science/article/pii/S2058524124000495;ScienceDirect;artifical intelligence in surgery: ethical considerations in the light of social trends in the perception of health and medicine
Chris Palmer;Unprecedented Collaboration Plots Largest, Most Detailed Maps of the Brain;2024;39;Desconocido;7;9;Desconocido;https://doi.org/10.1016/j.eng.2024.07.004;Desconocido;Engineering;https://www.sciencedirect.com/science/article/pii/S2095809924003928;ScienceDirect;unprecedented collaboration plots largest, most detailed maps of the brain
Guanhong Yao and WuJi Zhang and Yingxi Zhu and Ut-kei Wong and Yanfeng Zhang and Cui Yang and Guanghao Shen and Zhanguo Li and Hui Gao;Comparing the accuracy of large language models and prompt engineering in diagnosing realworld cases;2025;203;Desconocido;106026;Desconocido;"Importance
Large language models (LLMs) hold potential in clinical decision-making, especially for complex and rare disease diagnoses. However, real-world applications require further evaluation for accuracy and utility.
Objective
To evaluate the diagnostic performance of four LLMs (GPT-4o mini, GPT-4o, ERNIE, and Llama-3) using real-world inpatient medical records and assess the impact of different prompt engineering methods.
Method
This single-center, retrospective study was conducted at Peking University International Hospital. It involved 1,122 medical records categorized into common rheumatic autoimmune diseases, rare rheumatic autoimmune diseases, and non-rheumatic diseases. Four LLMs were evaluated using two prompt engineering methods: few-shot and chain-of-thought prompting. Diagnostic accuracy (hit1) was defined as the inclusion of the first final diagnosis from the medical record in the model’s top prediction.
Results
Hit1 of four LLMs were as follows: GPT-4omini (81.8 %), GPT-4o (82.4 %), ERNIE (82.9 %) and Llama-3 (82.7 %). Few-shot prompting significantly improved GPT-4o’s hit1 (85.9 %) compared to its base model (p = 0.02), outperforming other models (all p < 0.05). Chain-of-thought prompting showed no significant improvement. Hit1 for both common and rare rheumatic diseases was consistently higher than that for non-rheumatic disease. Few-shot prompting increased costs per correct diagnosis for GPT-4o by approximately ¥4.54.
Conclusions
LLMs, including GPT-4o, demonstrate promising diagnostic accuracy on real medical records. Few-shot prompting enhances performance but at higher costs, underscoring the need for accuracy improvements and cost management. These findings inform LLM development in Chinese medical contexts and highlight the necessity for further multi-center validation.";https://doi.org/10.1016/j.ijmedinf.2025.106026;"Large Language Models; LLMs; Prompt Engineering; Accuracy; Rheumatic Disease; Realworld";International Journal of Medical Informatics;https://www.sciencedirect.com/science/article/pii/S1386505625002436;ScienceDirect;comparing the accuracy of large language models and prompt engineering in diagnosing realworld cases
DU Qing;Quantitative determination of coptisine and berberine hydrochloride in Corydalis conspersa by high-performance liquid chromatography and quality evaluation;2025;Desconocido;Desconocido;100620;Desconocido;The key active ingredients of Chinese medicinal materials are often used as indicators in quality standards. Corydalis conspersa is a characteristic plant from the Qinghai-Tibet plateau and contains various of isoquinoline alkaloids. Water content was determinated from diverse parts of Corydalis conspersa according to the Chinese Pharmacopoeia. The component of coptisine and berberine hydrochloride in Corydalis conspersa were extracted using the solvent of methanol-hydrochloric acid and detected by High-Performance Liquid Chromatography. The results of method validation test was stable and reliable. The content of coptisine and berberine hydrochloride in root samples was higher than in herbs. In the sample solutions of stem and leaf, only coptisine was detectable. Thus, the levels of coptisine and berberine hydrochloride in root and herbs can serve as a qualified basis for quality standards of Corydalis conspersa.;https://doi.org/10.1016/j.cjac.2025.100620;"Corydalis conspersa; coptisine; berberine hydrochloride; diverse parts; content comparison";Chinese Journal of Analytical Chemistry;https://www.sciencedirect.com/science/article/pii/S187220402500129X;ScienceDirect;quantitative determination of coptisine and berberine hydrochloride in corydalis conspersa by high-performance liquid chromatography and quality evaluation
Matthew Quinn and John D. Milner and Phillip Schmitt and Patrick Morrissey and Nicholas Lemme and Stephen Marcaccio and Steven DeFroda and Ramin Tabaddor and Brett D. Owens;Artificial Intelligence Large Language Models Address Anterior Cruciate Ligament Reconstruction: Superior Clarity and Completeness by Gemini Compared With ChatGPT-4 in Response to American Academy of Orthopaedic Surgeons Clinical Practice Guidelines;2025;41;6;2002;2008;"Purpose
To assess the ability of ChatGPT-4 and Gemini to generate accurate and relevant responses to the 2022 American Academy of Orthopaedic Surgeons (AAOS) Clinical Practice Guidelines (CPG) for anterior cruciate ligament reconstruction (ACLR).
Methods
Responses from ChatGPT-4 and Gemini to prompts derived from all 15 AAOS guidelines were evaluated by 7 fellowship-trained orthopaedic sports medicine surgeons using a structured questionnaire assessing 5 key characteristics on a scale from 1 to 5. The prompts were categorized into 3 areas: diagnosis and preoperative management, surgical timing and technique, and rehabilitation and prevention. Statistical analysis included mean scoring, standard deviation, and 2-sided t tests to compare the performance between the 2 large language models (LLMs). Scores were then evaluated for inter-rater reliability (IRR).
Results
Overall, both LLMs performed well with mean scores >4 for the 5 key characteristics. Gemini demonstrated superior performance in overall clarity (4.848 ± 0.36 vs 4.743 ± 0.481, P = .034), but all other characteristics demonstrated nonsignificant differences (P > .05). Gemini also demonstrated superior clarity in the surgical timing and technique (P = .038) as well as the prevention and rehabilitation (P = .044) subcategories. Additionally, Gemini had superior performance completeness scores in the rehabilitation and prevention subcategory (P = .044), but no statistically significant differences were found amongst the other subcategories. The overall IRR was found to be 0.71 (moderate).
Conclusions
Both Gemini and ChatGPT-4 demonstrate an overall good ability to generate accurate and relevant responses to question prompts based on the 2022 AAOS CPG for ACLR. However, Gemini demonstrated superior clarity in multiple domains in addition to superior completeness for questions pertaining to rehabilitation and prevention.
Clinical Relevance
The current study addresses a current gap in the LLM and ACLR literature by comparing the performance of ChatGPT-4 to Gemini, which is growing in popularity with more than 300 million individual uses in May 2024 alone. Moreover, the results demonstrated superior performance of Gemini in both clarity and completeness, which are critical elements of a tool being used by patients for educational purposes. Additionally, the current study uses question prompts based on the AAOS CPG, which may be used as a method of standardization for future investigations on performance of LLM platforms. Thus, the results of this study may be of interest to both the readership of Arthroscopy and patients.";https://doi.org/10.1016/j.arthro.2024.09.020;Desconocido;Arthroscopy: The Journal of Arthroscopic & Related Surgery;https://www.sciencedirect.com/science/article/pii/S0749806324007369;ScienceDirect;artificial intelligence large language models address anterior cruciate ligament reconstruction: superior clarity and completeness by gemini compared with chatgpt-4 in response to american academy of orthopaedic surgeons clinical practice guidelines
